order_number,product_id,customer_id,product_name,department_id,price,city
2,33120,202279,Organic Egg Whites,16,5.33,NewYork
5,48370,156122,Sensitive Toilet Paper,17,9.33,NewYork
7,46802,142903,Pineapple Chunks,1,6.76,NewYork
10,3464,135442,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",4,9.0,NewYork
10,25720,135442,Organic Sunchoke,4,10.06,NewYork
11,27085,143742,Mango Pineapple Salsa,20,4.23,NewYork
12,15221,152610,2% Milk,16,11.05,NewYork
12,43772,152610,Cherubs Heavenly Salad Tomatoes,4,1.15,NewYork
13,36086,45082,Philadelphia Original Cream Cheese,16,2.08,NewYork
14,2452,18194,Naturals Chicken Nuggets,1,1.24,NewYork
14,10096,18194,Corn Meal Pizza Crust,1,11.52,NewYork
15,32463,54901,Olive Oil & Aloe Vera Hand Soap,11,4.26,NewYork
18,34969,118860,Red Vine Tomato,4,9.25,NewYork
18,1000,118860,Apricots,10,1.27,NewYork
18,2116,118860,Organic Maple & Onion Baked Beans,15,2.14,NewYork
18,9848,118860,Balsamic Reduction Traditional Balsamic,13,12.26,NewYork
21,4149,88772,Frozen Organic Blueberries,4,11.59,NewYork
23,18689,68572,Dairy-Free Chive Cream Cheese,16,10.12,NewYork
25,22105,59897,Ultra Thin Sliced Provolone Cheese,16,2.41,NewYork
25,39046,59897,Smok Cured Turkey Bacon,12,6.84,NewYork
25,30320,59897,Craveables Four Cheese Pizza,1,8.71,NewYork
25,15925,59897,Macaroni and Cheese,1,9.5,NewYork
26,33120,153404,Organic Egg Whites,16,5.33,NewYork
27,38226,129389,Dark Chocolate Chips,19,2.18,NewYork
31,25647,201744,Heirloom Tomato,4,4.3,NewYork
35,28413,202527,Bunny-Luv Organic Carrots,4,7.3,NewYork
35,24532,202527,Cranberry Almond Chicken Salad,3,2.66,NewYork
43,20915,39630,Mozzarella Light Low Moisture Part Skim String Cheese,16,3.56,NewYork
43,21949,39630,White Cheddar Semisoft Cheese,16,9.24,NewYork
44,28012,183833,Clover Honey Bear,13,8.71,NewYork
46,26172,10951,Light Sour Cream,16,7.26,NewYork
46,21067,10951,Reduced Fat Sliced Provolone Cheese,16,2.4,NewYork
46,41602,10951,Deli Select Ultra Thin Honey Ham,20,4.95,NewYork
49,19677,79165,Original Pure Creamy Almond Milk,16,6.4,NewYork
50,17183,94330,Peach Yoghurt,16,6.75,NewYork
50,1025,94330,Organic Fresh Basil,4,11.34,NewYork
51,32624,160959,Acorn Squash,4,11.22,NewYork
52,18963,27498,Apple Cider Vinegar,13,9.67,NewYork
52,39408,27498,Gala Apples,4,4.03,NewYork
53,32442,87889,Organic Original Tofu Veggie Burger,20,11.35,NewYork
54,36086,91977,Philadelphia Original Cream Cheese,16,2.08,NewYork
55,42736,127522,Unsalted Butter,16,9.28,NewYork
55,3464,127522,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",4,9.0,NewYork
58,26604,150647,Organic Blackberries,4,8.08,NewYork
59,32549,137346,Prepared Meals Simmered Chicken Medley Wet Dog Food,8,12.5,NewYork
60,2298,66984,"Muffins, Mini, Flax, Chocolate Brownie",3,8.0,NewYork
60,781,66984,Organic Shredded Mild Cheddar,16,2.78,NewYork
60,13249,66984,Skim Milk,16,9.33,NewYork
60,890,66984,Organic Diced Tomatoes,15,1.35,NewYork
61,4149,12295,Frozen Organic Blueberries,4,11.59,NewYork
62,26209,189943,Limes,4,4.37,NewYork
63,13733,122048,Red Potatoes,4,4.73,NewYork
65,1940,26599,Organic 2% Reduced Fat Milk,16,1.23,NewYork
67,27514,5738,Maple Glazed Honey Ham,20,6.39,NewYork
68,17924,96594,Seltzer Water,7,3.66,NewYork
69,43875,115481,Baby Food Stage 2 Blueberry Pear & Purple Carrot,18,6.11,NewYork
69,42345,115481,Baby Food Pouch - Roasted Carrot Spinach & Beans,18,4.39,NewYork
71,26209,69984,Limes,4,4.37,NewYork
72,42548,199522,Baby Boomer Fresh Creamer Potatoes,4,2.89,NewYork
73,28413,152590,Bunny-Luv Organic Carrots,4,7.3,NewYork
76,38996,75136,Grape Tomatoes,4,4.64,NewYork
76,39844,75136,Mini Sweet Peppers,4,11.24,NewYork
77,34969,91667,Red Vine Tomato,4,9.25,NewYork
79,13627,197745,English Breakfast Tea Bags,7,6.27,NewYork
79,12397,197745,Earl Grey Tea Bags,7,6.93,NewYork
80,10761,190599,Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,16,4.56,NewYork
80,26604,190599,Organic Blackberries,4,8.08,NewYork
83,10060,41155,Original BBQ Sauce,13,8.23,NewYork
84,42300,21551,Organic Vitality Snack Chia Squeeze Blackberry Bliss,19,9.71,NewYork
85,32259,4041,Red Globe Grapes,4,9.24,NewYork
85,20217,4041,Mini Marshmallows,13,6.42,NewYork
85,42240,4041,Ultra Soft Facial Tissues,17,12.0,NewYork
86,45253,166645,gel hand wash sea minerals,11,4.27,NewYork
88,27690,102020,Apple Cinnamon GoGo Squeez,19,6.29,NewYork
90,890,43798,Organic Diced Tomatoes,15,1.35,NewYork
91,42813,5189,Smoked Maple Ham,20,5.89,NewYork
92,26604,56022,Organic Blackberries,4,8.08,NewYork
92,44375,56022,Canned Aranciata Orange,7,3.21,NewYork
93,39408,130239,Gala Apples,4,4.03,NewYork
95,37630,187742,Boneless & Skinless Wild Alaskan Sockeye Salmon,15,2.83,NewYork
95,10849,187742,Hickory Smoked Ham,20,8.93,NewYork
97,12276,175918,Chocolate Chip Cookie Dough Ice Cream,1,8.4,NewYork
97,28465,175918,Icelandic Style Skyr Blueberry Non-fat Yogurt,16,8.32,NewYork
97,10761,175918,Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,16,4.56,NewYork
97,35134,175918,Epsom Salt Soaking Solution Soothe & Sleep,11,8.33,NewYork
97,37460,175918,No Sugar Added Variety Fruit Bars,1,5.99,NewYork
97,4006,175918,Hazelnut Spread With Skim Milk & Cocoa,13,4.62,NewYork
97,27177,175918,"Shampoo, Body Wash, Bubble Bath Coconut+Lemon",11,3.55,NewYork
99,46584,108185,YoKids Blueberry & Strawberry/Vanilla Yogurt,16,8.82,NewYork
99,13991,108185,Hearty Style 100% Whole Grain Whole Wheat Bread,3,4.06,NewYork
99,35176,108185,Cream Cheese Cream Cheese Spread,16,3.27,NewYork
102,24830,4988,Organic Romaine,4,10.27,NewYork
102,44570,4988,Kale Greens,4,4.15,NewYork
104,28745,4645,Oven Roasted Turkey,20,7.99,NewYork
104,22124,4645,Total 0% Raspberry Yogurt,16,9.08,NewYork
104,26604,4645,Organic Blackberries,4,8.08,NewYork
105,1194,178958,Natural Artisan Water,7,7.42,NewYork
105,12276,178958,Chocolate Chip Cookie Dough Ice Cream,1,8.4,NewYork
105,27690,178958,Apple Cinnamon GoGo Squeez,19,6.29,NewYork
106,49505,161214,Hot Italian Sausage,12,8.46,NewYork
106,18019,161214,Macaroni & Cheese Dinner Original Flavor,9,3.73,NewYork
106,27509,161214,Organic Seasoned Yukon Select Potatoes Hashed Browns,1,5.21,NewYork
